note_num,start,end,name
73,46.0,46.5,C#
73,74.0,74.75,C#
73,75.25,75.5,C#
73,82.0,83.5,C#
73,88.75,89.625,C#
73,90.25,90.5,C#
73,92.5,93.0,C#
73,93.0,93.25,C#
73,93.875,94.0,C#
73,94.0,94.5,C#
74,4.25,6.0,D
74,12.0,13.0,D
74,13.0,14.0,D
74,14.122916666666667,14.25,D
74,15.5,15.75,D
74,19.5,19.625,D
74,26.75,27.0,D
74,27.0,27.25,D
74,28.0,30.0,D
74,37.0,37.5,D
74,40.5,40.75,D
74,41.625,41.75,D
74,42.0,42.25,D
74,45.25,45.625,D
74,45.75,45.875,D
74,46.5,48.0,D
74,52.25,54.0,D
74,60.0,61.0,D
74,61.0,62.0,D
74,62.12291666666667,62.25,D
74,63.5,63.75,D
74,67.5,67.625,D
74,74.75,75.0,D
74,75.0,75.25,D
74,76.0,78.0,D
74,85.0,85.5,D
74,88.5,88.75,D
74,89.625,89.75,D
74,90.0,90.25,D
74,93.25,93.625,D
74,93.75,93.875,D
74,94.5,96.0,D
74,98.625,98.75,D
74,99.25,99.5,D
74,120.5,120.75,D
74,123.0,123.125,D
74,126.25,126.5,D
74,129.25,129.5,D
74,131.5,131.75,D
74,134.75,135.0,D
74,135.75,136.0,D
74,139.5,139.75,D
74,146.625,146.75,D
74,147.25,147.5,D
74,168.5,168.75,D
74,171.0,171.125,D
74,174.25,174.5,D
74,177.25,177.5,D
74,179.5,179.75,D
74,182.75,183.0,D
74,183.75,184.0,D
74,187.5,187.75,D
75,102.875,103.0,D#
75,103.0,103.5,D#
75,106.5,107.5,D#
75,111.625,112.0,D#
75,112.0,112.5,D#
75,115.25,115.5,D#
75,117.875,118.0,D#
75,118.0,118.5,D#
75,150.875,151.0,D#
75,151.0,151.5,D#
75,154.5,155.5,D#
75,159.625,160.0,D#
75,160.0,160.5,D#
75,163.25,163.5,D#
75,165.875,166.0,D#
75,166.0,166.5,D#
76,4.0,4.25,E
76,14.0,14.127083333333333,E
76,14.247916666666667,14.75,E
76,15.0,15.5,E
76,19.125,19.5,E
76,30.0,31.0,E
76,33.75,34.0,E
76,35.5,36.0,E
76,36.75,37.0,E
76,41.75,42.0,E
76,45.625,45.75,E
76,52.0,52.25,E
76,62.0,62.12708333333333,E
76,62.24791666666667,62.75,E
76,63.0,63.5,E
76,67.125,67.5,E
76,78.0,79.0,E
76,81.75,82.0,E
76,83.5,84.0,E
76,84.75,85.0,E
76,89.75,90.0,E
76,93.625,93.75,E
76,98.75,99.0,E
76,99.0,99.25,E
76,102.25,102.75,E
76,103.5,104.5,E
76,106.0,106.5,E
76,109.0,110.25,E
76,111.125,111.5,E
76,112.5,113.25,E
76,114.75,115.0,E
76,115.0,115.25,E
76,117.25,117.75,E
76,118.5,120.0,E
76,120.0,120.5,E
76,131.25,131.5,E
76,135.0,135.25,E
76,135.5,135.75,E
76,136.0,136.25,E
76,137.0,137.25,E
76,146.75,147.0,E
76,147.0,147.25,E
76,150.25,150.75,E
76,151.5,152.5,E
76,154.0,154.5,E
76,157.0,158.25,E
76,159.125,159.5,E
76,160.5,161.25,E
76,162.75,163.0,E
76,163.0,163.25,E
76,165.25,165.75,E
76,166.5,168.0,E
76,168.0,168.5,E
76,179.25,179.5,E
76,183.0,183.25,E
76,183.5,183.75,E
76,184.0,184.25,E
76,185.0,185.25,E
77,14.75,15.0,F
77,62.75,63.0,F
77,135.25,135.5,F
77,183.25,183.5,F
78,3.75,4.0,F#
78,17.5,18.0,F#
78,18.125,18.5,F#
78,19.0,19.125,F#
78,32.5,32.75,F#
78,33.5,33.75,F#
78,36.5,36.75,F#
78,51.75,52.0,F#
78,65.5,66.0,F#
78,66.125,66.5,F#
78,67.0,67.125,F#
78,80.5,80.75,F#
78,81.5,81.75,F#
78,84.5,84.75,F#
78,102.0,102.25,F#
78,102.75,102.875,F#
78,105.75,106.0,F#
78,108.75,109.0,F#
78,111.5,111.625,F#
78,116.5,117.0,F#
78,117.0,117.25,F#
78,117.75,117.875,F#
78,137.5,137.75,F#
78,150.0,150.25,F#
78,150.75,150.875,F#
78,153.75,154.0,F#
78,156.75,157.0,F#
78,159.5,159.625,F#
78,164.5,165.0,F#
78,165.0,165.25,F#
78,165.75,165.875,F#
78,185.5,185.75,F#
79,0.0,1.0,G
79,1.0,2.0,G
79,2.125,2.245833333333333,G
79,3.5,3.75,G
79,18.0,18.125,G
79,18.625,19.0,G
79,30.0,31.0,G
79,31.0,32.5,G
79,32.75,33.0,G
79,33.0,33.5,G
79,36.25,36.5,G
79,43.0,43.5,G
79,48.0,49.0,G
79,49.0,50.0,G
79,50.125,50.24583333333333,G
79,51.5,51.75,G
79,66.0,66.125,G
79,66.625,67.0,G
79,78.0,79.0,G
79,79.0,80.5,G
79,80.75,81.0,G
79,81.0,81.5,G
79,84.25,84.5,G
79,91.0,91.5,G
79,101.5,102.0,G
79,104.875,105.0,G
79,108.0,108.75,G
79,111.0,111.125,G
79,116.0,116.5,G
79,137.75,138.0,G
79,149.5,150.0,G
79,152.875,153.0,G
79,156.0,156.75,G
79,159.0,159.125,G
79,164.0,164.5,G
79,185.75,186.0,G
81,2.0,2.122916666666667,A
81,2.25,2.75,A
81,3.0,3.5,A
81,18.5,18.625,A
81,20.375,20.75,A
81,36.0,36.25,A
81,50.0,50.12291666666667,A
81,50.25,50.75,A
81,51.0,51.5,A
81,66.5,66.625,A
81,68.375,68.75,A
81,84.0,84.25,A
81,104.5,104.625,A
81,104.75,104.875,A
81,105.0,105.75,A
81,115.5,116.0,A
81,138.0,138.25,A
81,152.5,152.625,A
81,152.75,152.875,A
81,153.0,153.75,A
81,163.5,164.0,A
81,186.0,186.25,A
83,2.75,3.0,B
83,50.75,51.0,B
83,104.625,104.75,B
83,152.625,152.75,B
